sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
233,Agile Finvest Limited,New Delhi,No,ICC,U65910DL1996PLC082167,Base
234,Agiwal Finance Private Limited (Formerly Surmit Investment Private Limited),New Delhi,No,ICC,U67120DL1996PTC079056,Base
235,Aglow Fin Trade Pvt. Ltd.,New Delhi,No,ICC,U51100DL1994PTC060061,Base
236,Aglow Financial Services Private Ltd.,New Delhi,No,ICC,U65921DL1996PTC075459,Base
237,AGM Management Services Ltd.,New Delhi,No,ICC,U74899HR1991PLC043607,Base
238,Agni Fin-Lease Pvt.Ltd.,Bhopal,No,ICC,U67120MP1996PTC010379,Base
239,Agog Securities Brokerages Private Limited,Mumbai,No,Type-I,U67120MH2003PTC139550,Base
240,Agora Microfinance India Ltd.(Formerly Jagdhan Finance And Investments Limited),Mumbai,No,MFI,U65921MH1996PLC240921,Base
241,Agr Investments Ltd.,New Delhi,No,ICC,U67120DL1991PLC045261,Base
242,Agra Capitals Private Limited,Kolkata,No,ICC,U67120WB1996PTC267921,Base
243,Agra Conductors And Electricals (P) Ltd.,Kanpur,No,ICC,U40101UP1990PTC012475,Base
244,Agraj Marketing Private Limited,New Delhi,No,ICC,U65100HR1995PTC065320,Base
245,Agrasar Vanijya (P) Ltd,Kolkata,No,ICC,U99999WB1983PTC037052,Base
246,Agrawala Finserve Pvt.Ltd.,New Delhi,No,ICC,U65923DL1995PTC074762,Base
247,Agrim Fincap Pvt.Ltd.,New Delhi,No,ICC,U74899DL1995PTC067419,Base
248,Agrim Housing Finance Private Limited,Mumbai,No,HFC,U74999MH2018PTC304630,Middle
249,Agriwise Finserv Limited (Formerly Known as Staragri Finance Limited),Mumbai,No,ICC,U65999MH1995PLC267097,Base
250,Agro Indus Credits Limited (Formerly Known As Agro Indus Finance And Leasing (India)Ltd,Thiruvananthapuram,No,ICC,U65910KL1997PLC011088,Base
251,Agroha Finvest Private Limited,New Delhi,No,ICC,U74999DL1994PTC062786,Base
252,Agya Technologies Private Limited,Bengaluru,No,AA,U72900KA2021PTC146931,Base
253,Aha Holdings Pvt. Ltd. [Formerly: Idream Holdings Pvt. Ltd.],Mumbai,No,ICC,U65990MH2000PTC127298,Base
254,Ahalia Finforex Limited (Formerly known as Ahalia Money Exchange and Financial Services Private Limited),Thiruvananthapuram,No,ICC,U65999KL2001PLC015075,Base
255,Aham Housing Finance Private Limited,Chennai,No,HFC,U65922TN2017PLC153589,Middle
256,Ahinsa Merchandise Pvt Ltd,Kolkata,No,ICC,U51109WB1993PTC058323,Base
257,Ahmednagar Finance Limited,Mumbai,No,ICC,U65922MH1994PLC190639,Base
258,Ahuja Finance Co. P. Ltd.,Mumbai,No,ICC,U65190MH1995PTC088747,Base
259,Ahv Investments Private Limited,New Delhi,No,ICC,U67120DL1991PTC261271,Base
260,AIC Securities Private Limited [Formerly: Mehra Securities Pvt Ltd],Kolkata,No,ICC,U67120WB1995PTC071765,Base
261,Aim Credit Capital (P) Ltd.,Kolkata,No,ICC,U70101WB1996PTC081782,Base
262,Aim Fincon Private Limited,Ahmedabad,No,ICC,U74999GJ1995PTC098621,Base
263,Aimfin Enterprises Private Limited,Chennai,No,ICC,U65999TN2015PTC102864,Base
